Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country,Team1_Name,Team1_Short_Code,Opponent_Team_Name,OpponentTeam_Short_Code,Season_Year,Orange_Cap_Id,Purple_Cap_Id,Man_of_the_Series_Id
980928,18-Apr-16,11,7,9,"Rajiv Gandhi International Stadium, Uppal",11,field,0,1,0,by wickets,7.0,11.0,187.0,482,521,Hyderabad,India,Sunrisers Hyderabad,SRH,Mumbai Indians,MI,2016,8,299,8
981012,21-May-16,13,7,9,Green Park,13,field,0,1,0,by wickets,6.0,13.0,21.0,495,498,Kanpur,India,Gujarat Lions,GL,Mumbai Indians,MI,2016,8,299,8
980962,1-May-16,12,7,9,Maharashtra Cricket Association Stadium,7,field,0,1,0,by wickets,8.0,7.0,57.0,509,518,Pune,India,Rising Pune Supergiants,RPS,Mumbai Indians,MI,2016,8,299,8
980926,17-Apr-16,2,6,9,M Chinnaswamy Stadium,6,field,0,1,0,by wickets,7.0,6.0,355.0,496,511,Bangalore,India,Royal Challengers Bangalore,RCB,Delhi Daredevils,DD,2016,8,299,8
980976,7-May-16,4,6,9,"Punjab Cricket Association IS Bindra Stadium, Mohali",6,field,0,1,0,by runs,9.0,4.0,409.0,482,498,Chandigarh,India,Kings XI Punjab,KXIP,Delhi Daredevils,DD,2016,8,299,8
980998,15-May-16,7,6,9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,field,0,1,0,by runs,80.0,7.0,413.0,507,498,Visakhapatnam,India,Mumbai Indians,MI,Delhi Daredevils,DD,2016,8,299,8
980908,10-Apr-16,1,6,9,Eden Gardens,1,field,0,1,0,by wickets,9.0,1.0,334.0,489,499,Kolkata,India,Kolkata Knight Riders,KKR,Delhi Daredevils,DD,2016,8,299,8
980988,12-May-16,11,6,9,"Rajiv Gandhi International Stadium, Uppal",6,field,0,1,0,by wickets,7.0,6.0,350.0,508,481,Hyderabad,India,Sunrisers Hyderabad,SRH,Delhi Daredevils,DD,2016,8,299,8
980966,3-May-16,13,6,9,Saurashtra Cricket Association Stadium,6,field,0,1,0,by wickets,8.0,6.0,420.0,505,497,Rajkot,India,Gujarat Lions,GL,Delhi Daredevils,DD,2016,8,299,8
981002,17-May-16,12,6,9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,field,0,1,1,by runs,19.0,12.0,106.0,507,499,Visakhapatnam,India,Rising Pune Supergiants,RPS,Delhi Daredevils,DD,2016,8,299,8
980912,12-Apr-16,2,11,9,M Chinnaswamy Stadium,11,field,0,1,0,by runs,45.0,2.0,110.0,482,521,Bangalore,India,Royal Challengers Bangalore,RCB,Sunrisers Hyderabad,SRH,2016,8,299,8
981024,29-May-16,2,11,9,M Chinnaswamy Stadium,11,bat,0,1,0,by runs,8.0,11.0,385.0,482,497,Bangalore,India,Royal Challengers Bangalore,RCB,Sunrisers Hyderabad,SRH,2016,8,299,8
980996,15-May-16,4,11,9,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,bat,0,1,0,by wickets,7.0,11.0,427.0,510,481,Chandigarh,India,Kings XI Punjab,KXIP,Sunrisers Hyderabad,SRH,2016,8,299,8
981008,20-May-16,6,11,9,Shaheed Veer Narayan Singh International Stadium,6,field,0,1,0,by wickets,6.0,6.0,339.0,511,497,Raipur,India,Delhi Daredevils,DD,Sunrisers Hyderabad,SRH,2016,8,299,8
980978,8-May-16,7,11,9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,field,0,1,0,by runs,85.0,11.0,73.0,489,499,Visakhapatnam,India,Mumbai Indians,MI,Sunrisers Hyderabad,SRH,2016,8,299,8
981014,22-May-16,1,11,9,Eden Gardens,11,field,0,1,0,by runs,22.0,1.0,31.0,510,481,Kolkata,India,Kolkata Knight Riders,KKR,Sunrisers Hyderabad,SRH,2016,8,299,8
980934,21-Apr-16,13,11,9,Saurashtra Cricket Association Stadium,11,field,0,1,0,by wickets,10.0,11.0,299.0,508,482,Rajkot,India,Gujarat Lions,GL,Sunrisers Hyderabad,SRH,2016,8,299,8
981022,27-May-16,13,11,9,Feroz Shah Kotla,11,field,0,1,0,by wickets,4.0,11.0,187.0,481,498,Delhi,India,Gujarat Lions,GL,Sunrisers Hyderabad,SRH,2016,8,299,8
980984,10-May-16,12,11,9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,bat,0,1,0,by runs,4.0,11.0,430.0,505,521,Visakhapatnam,India,Rising Pune Supergiants,RPS,Sunrisers Hyderabad,SRH,2016,8,299,8
980974,7-May-16,2,12,9,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,7.0,2.0,8.0,505,497,Bangalore,India,Royal Challengers Bangalore,RCB,Rising Pune Supergiants,RPS,2016,8,299,8
980924,17-Apr-16,4,12,9,"Punjab Cricket Association IS Bindra Stadium, Mohali",12,bat,0,1,0,by wickets,6.0,4.0,345.0,489,499,Chandigarh,India,Kings XI Punjab,KXIP,Rising Pune Supergiants,RPS,2016,8,299,8
980970,5-May-16,6,12,9,Feroz Shah Kotla,12,field,0,1,0,by wickets,7.0,12.0,85.0,499,518,Delhi,India,Delhi Daredevils,DD,Rising Pune Supergiants,RPS,2016,8,299,8
980906,9-Apr-16,7,12,9,Wankhede Stadium,7,bat,0,1,0,by wickets,9.0,12.0,85.0,482,498,Mumbai,India,Mumbai Indians,MI,Rising Pune Supergiants,RPS,2016,8,299,8
980994,14-May-16,1,12,9,Eden Gardens,12,bat,0,1,1,by wickets,8.0,1.0,31.0,511,497,Kolkata,India,Kolkata Knight Riders,KKR,Rising Pune Supergiants,RPS,2016,8,299,8
980948,26-Apr-16,11,12,9,"Rajiv Gandhi International Stadium, Uppal",12,field,0,1,1,by runs,34.0,12.0,106.0,509,498,Hyderabad,India,Sunrisers Hyderabad,SRH,Rising Pune Supergiants,RPS,2016,8,299,8
980916,14-Apr-16,13,12,9,Saurashtra Cricket Association Stadium,12,bat,0,1,0,by wickets,7.0,13.0,254.0,496,498,Rajkot,India,Gujarat Lions,GL,Rising Pune Supergiants,RPS,2016,8,299,8
980992,14-May-16,2,13,9,M Chinnaswamy Stadium,13,field,0,1,0,by runs,144.0,2.0,110.0,509,521,Bangalore,India,Royal Challengers Bangalore,RCB,Gujarat Lions,GL,2016,8,299,8
980910,11-Apr-16,4,13,9,"Punjab Cricket Association IS Bindra Stadium, Mohali",13,field,0,1,0,by wickets,5.0,13.0,254.0,495,496,Chandigarh,India,Kings XI Punjab,KXIP,Gujarat Lions,GL,2016,8,299,8
980950,27-Apr-16,6,13,9,Feroz Shah Kotla,6,field,0,1,0,by runs,1.0,13.0,350.0,481,489,Delhi,India,Delhi Daredevils,DD,Gujarat Lions,GL,2016,8,299,8
980922,16-Apr-16,7,13,9,Wankhede Stadium,13,field,0,1,0,by wickets,3.0,13.0,254.0,482,521,Mumbai,India,Mumbai Indians,MI,Gujarat Lions,GL,2016,8,299,8
980980,8-May-16,1,13,9,Eden Gardens,13,field,0,1,0,by wickets,5.0,13.0,14.0,481,518,Kolkata,India,Kolkata Knight Riders,KKR,Gujarat Lions,GL,2016,8,299,8
980972,6-May-16,11,13,9,"Rajiv Gandhi International Stadium, Uppal",11,field,0,1,0,by wickets,5.0,11.0,299.0,481,489,Hyderabad,India,Sunrisers Hyderabad,SRH,Gujarat Lions,GL,2016,8,299,8
980954,29-Apr-16,12,13,9,Maharashtra Cricket Association Stadium,13,field,0,1,0,by wickets,3.0,13.0,147.0,505,497,Pune,India,Rising Pune Supergiants,RPS,Gujarat Lions,GL,2016,8,299,8
980982,9-May-16,4,2,9,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,field,0,1,0,by runs,1.0,2.0,32.0,495,482,Chandigarh,India,Kings XI Punjab,KXIP,Royal Challengers Bangalore,RCB,2016,8,299,8
981016,22-May-16,6,2,9,Shaheed Veer Narayan Singh International Stadium,2,field,0,1,0,by wickets,6.0,2.0,8.0,511,497,Raipur,India,Delhi Daredevils,DD,Royal Challengers Bangalore,RCB,2016,8,299,8
980932,20-Apr-16,7,2,9,Wankhede Stadium,7,field,0,1,0,by wickets,6.0,7.0,57.0,495,498,Mumbai,India,Mumbai Indians,MI,Royal Challengers Bangalore,RCB,2016,8,299,8
981000,16-May-16,1,2,9,Eden Gardens,2,field,0,1,0,by wickets,9.0,2.0,8.0,505,511,Kolkata,India,Kolkata Knight Riders,KKR,Royal Challengers Bangalore,RCB,2016,8,299,8
980958,30-Apr-16,11,2,9,"Rajiv Gandhi International Stadium, Uppal",2,field,0,1,0,by runs,15.0,11.0,187.0,495,482,Hyderabad,India,Sunrisers Hyderabad,SRH,Royal Challengers Bangalore,RCB,2016,8,299,8
980942,24-Apr-16,13,2,9,Saurashtra Cricket Association Stadium,2,bat,0,1,0,by wickets,6.0,13.0,8.0,508,497,Rajkot,India,Gujarat Lions,GL,Royal Challengers Bangalore,RCB,2016,8,299,8
981018,24-May-16,13,2,9,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,4.0,2.0,110.0,495,482,Bangalore,India,Gujarat Lions,GL,Royal Challengers Bangalore,RCB,2016,8,299,8
980936,22-Apr-16,12,2,9,Maharashtra Cricket Association Stadium,12,field,0,1,0,by runs,13.0,2.0,110.0,505,521,Pune,India,Rising Pune Supergiants,RPS,Royal Challengers Bangalore,RCB,2016,8,299,8
